prodi,kode_mk,nama_mata_kuliah,semester_mk,sks,metode
Biologi(1),BIO60280,PEMETAAN DAN PEMODELAN BIODIVERSITAS,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60243,MIKROORGANISME EKSTREMOFILIK,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60252,BIOLOGI SERAT,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60253,DENDROKRONOLOGI,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60257,ENTOMOLOGI TERAPAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60263,PROTOZOOLOGI,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60267,MANAJEMEN HERBARIUM,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60268,MORFOLOGI POLEN DAN SPORA,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60212,EKOLOGI RESTORASI,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60219,PATOFISIOLOGI VERTEBRATA,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60271,AMDAL,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60274,EKOWISATA,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60288,TEKNIK BIOLOGI ANALISIS PRODUK HALAL,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60240,MIKROBIOLOGI LINGKUNGAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60249,REGULASI PERKEMBANGAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60260,MAMALOGI,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60248,KULTUR SEL HEWAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60206,MALAKOLOGI,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DAK 51103,Pengantar Perpajakan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,VOK51101,Korespondensi dan Tata Bahasa Inggris,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,VOK51102,Praktikum Korespondensi dan Tata Bahasa Inggris,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,DAK 51101,Pengantar Akuntansi,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,DAK51102,Praktikum Pengantar Akuntansi,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51102,Matematika Keuangan dan Bisnis,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,DPK51103,Praktikum Matematika Keuangan dan Bisnis,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51101,Pengantar Ilmu Ekonomi,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,VOK 51103,Teknologi Informasi dan Komunikasi,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,MWU50102,Pendidikan Kewarganegaraan,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,MWU50103,Pancasila,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DMP51101,Pengantar Bisnis dan Manajemen,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51104,Hukum Bisnis dan Perbankan,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51105,Akuntansi Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51106,Lembaga Keuangan dan Pasar Modal,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51107,Operasional Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51109,Pengantar Manajemen Keuangan,Ganjil 2024/2025,3,Biasa
