prodi,kode_mk,nama mata kuliah,semester mk,sks,metode
Biologi(1),BIO60243,Mikroorganisme Ekstremofilik,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60252,Biologi Serat,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60253,Dendrokronologi,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60257,Entomologi Terapan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60263,Protozoologi,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60267,Manajemen Herbarium,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60268,Morfologi Polen Dan Spora,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60212,Ekologi Restorasi,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60219,Patofisiologi Vertebrata,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60271,Amdal,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60274,Ekowisata,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60288,Teknik Biologi Analisis Produk Halal,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60240,Mikrobiologi Lingkungan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60249,Regulasi Perkembangan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60260,Mamalogi,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60248,Kultur Sel Hewan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60206,Malakologi,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DAK51103,Pengantar Perpajakan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,VOK51101,Korespondensi Dan Tata Bahasa Inggris,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,VOK51102,Praktikum Korespondensi Dan Tata Bahasa Inggris,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,DAK51101,Pengantar Akuntansi,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,DAK51102,Praktikum Pengantar Akuntansi,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51102,Matematika Keuangan Dan Bisnis,Ganjil 2024/2025,1,Biasa
D3 Perbankan Dan Keuangan,DPK51103,Praktikum Matematika Keuangan Dan Bisnis,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51101,Pengantar Ilmu Ekonomi,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,VOK51103,Teknologi Informasi Dan Komunikasi,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,MWU50102,Pendidikan Kewarganegaraan,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,MWU50103,Pancasila,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DMP51101,Pengantar Bisnis Dan Manajemen,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51104,Hukum Bisnis Dan Perbankan,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51105,Akuntansi Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51106,Lembaga Keuangan Dan Pasar Modal,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK51107,Operasional Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51109,Pengantar Manajemen Keuangan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51110,Manajemen Sumber Dana Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51111,Manajemen Kredit,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51112,Pemasaran Produk Dan Jasa Perbankan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK52116,Pasar Modal,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK52117,Tata Kelola Bank (Gcg Bank),Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK52118,Jaringan Pelayanan Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK52119,Komunikasi Bisnis Perbankan,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK52120,Manajemen Risiko Perbankan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK52121,Manajemen Aset Perbankan,Ganjil 2024/2025,3,Biasa
Ekonomi Islam,EKI61101,Pengantar Ekonomi,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61102,Ayat Dan Hadist Ekonomi,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,AKT61101,Pengantar Akuntansi,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,MNJ61101,Pengantar Bisnis,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61103,Bahasa Arab,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61104,Islamic Worldview,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKO61103,Matematika Ekonomi,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,AND61102,Kewirausahaan,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61106,Mikro Ekonomi Islam,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61107,Makro Ekonomi Islam,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61108,Ekonometrika Dasar,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61109,Fiqih Muamalah Dan Ekonomi,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61110,Prinsip Dasar Hukum Islam,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61111,Sejarah Pemikiran Ekonomi Islam Dan Perbandingan Sistem Ekonomi,Ganjil 2024/2025,3,PjBL
Ekonomi Islam,EKI61112,Pengantar Keuangan Islam,Ganjil 2024/2025,3,PjBL
Farmasi,FAF413,"Farmakoterapi Penyakit Gangguan Saraf, Kulit, Mata Dan Tht",Ganjil 2024/2025,2,Biasa
Farmasi,FAF314,"Farmakoterapi Penyakit Saluran Cerna, Saluran Nafas, Sendi, Saluran Nafas, Sendi Dan Tulang Dan Kondisi Khusus",Ganjil 2024/2025,2,Biasa
Farmasi,FAFP311,Praktikum Teknologi Sediaan Steril,Ganjil 2024/2025,1,Biasa
Farmasi,PAF4002,Sintesis Obat,Ganjil 2024/2025,2,Biasa
Farmasi,FAFP,"Praktikum Farmakoterapi Penyakit Gangguan Saraf, Kulit, Mata Dan Tht",Ganjil 2024/2025,1,Biasa
Farmasi,FAFP,"Praktikum Farmakoterapi Penyakit Saluran Cerna, Saluran Nafas, Sendi, Saluran Nafas, Sendi Dan Tulang Dan Kondisi Khusus",Ganjil 2024/2025,1,Biasa
Hubungan Internasional,SHI62101,Pengantar Ilmu Hubungan Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI62102,Pemikiran Ekonomi Politik,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61101,Dasar-Dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61102,Dasar-Dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61103,Dasar-Dasar Logika,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61104,Bahasa Inggris,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61108,Dasar-Dasar Penelitian Sosial,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61108,Fundamentals Of Social Research (Iup),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61109,Organisasi Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61109,International Organization (Iup),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61106,Teori Hubungan Internasional 1,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61106,Theory Of International Relations 1 (Iup),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61212,Bahasa Arab,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61212,Bahasa Bahasa Jepang,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61107,Ekonomi Politik  Global,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61107,Global Political Economy (Iup),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61108,Politik Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61108,International Politics,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61132,Teori Politik Luar Negeri,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61132,Theory Of Foreign Policy (Iup),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61214,Kajian Lintas Budaya,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61210,Bahasa Perancis,Ganjil 2024/2025,3,Biasa
